"trial","condition","onset","RT","response","reversed","syllables","item","subjectID","run","instruction","construct"
25,2,164.35,1.543,1,0,3,"helped by friends","FP024","run2","self","social"
26,1,169.364,1.233,1,0,3,"positive","FP024","run2","self","well-being"
27,1,174.351,0.734,1,0,2,"hopeful","FP024","run2","self","well-being"
28,3,179.366,1.063,2,0,2,"lonely","FP024","run2","self","ill-being"
29,2,184.692,1.177,1,0,4,"feel encouraged","FP024","run2","self","social"
30,2,190.012,1.256,2,1,4,"isolated","FP024","run2","self","social"
31,5,204.684,1.553,2,0,2,"trusted","FP024","run2","change","social"
32,5,209.627,1.69,1,1,2,"angry","FP024","run2","change","social"
33,6,214.614,2.279,1,0,2,"anxious","FP024","run2","change","ill-being"
34,5,219.716,2.193,2,0,3,"have good friends","FP024","run2","change","social"
35,4,224.666,2.387,2,0,5,"interested in life","FP024","run2","change","well-being"
36,4,229.649,2.78,1,0,3,"achieve goals","FP024","run2","change","well-being"
1,3,5.07,1.312,1,0,1,"stressed","FP025","run1","self","ill-being"
2,3,10.056,1.158,2,0,2,"lonely","FP025","run1","self","ill-being"
3,2,15.009,2.461,2,0,4,"feel encouraged","FP025","run1","self","social"
4,2,20.342,0.928,1,0,1,"loved","FP025","run1","self","social"
5,1,25.292,1.09,1,0,2,"happy","FP025","run1","self","well-being"
6,1,30.287,1.039,1,0,5,"satisfied with life","FP025","run1","self","well-being"
7,4,44.959,2.255,1,0,3,"achieve goals","FP025","run1","change","well-being"
8,4,49.901,2.569,1,0,6,"live a meaningful life","FP025","run1","change","well-being"
9,6,55.005,2.409,1,0,2,"nervous","FP025","run1","change","ill-being"
10,6,60.342,1.713,1,0,2,"anxious","FP025","run1","change","ill-being"
11,5,65.375,3.087,1,0,7,"have trusting relationships","FP025","run1","change","social"
12,6,70.391,2.255,1,0,3,"overwhelmed","FP025","run1","change","ill-being"
13,3,85.291,1.611,2,0,3,"feel useless","FP025","run1","self","ill-being"
14,3,90.274,1.22,2,0,4,"feel rejected","FP025","run1","self","ill-being"
15,1,95.258,2.14,1,0,3,"like myself","FP025","run1","self","well-being"
16,1,100.203,2.139,1,0,6,"live a purposeful life","FP025","run1","self","well-being"
17,2,105.19,1.576,1,0,2,"trusted","FP025","run1","self","social"
18,3,110.291,2.387,2,0,2,"fearful","FP025","run1","self","ill-being"
19,6,124.955,2.091,1,0,3,"feel worthless","FP025","run1","change","ill-being"
20,4,129.941,1.449,2,0,2,"joyful","FP025","run1","change","well-being"
21,5,134.891,1.299,1,0,6,"have warm relationships","FP025","run1","change","social"
22,5,140.215,1.943,2,0,3,"have good friends","FP025","run1","change","social"
23,4,145.169,1.373,1,0,5,"interested in life","FP025","run1","change","well-being"
24,6,150.123,2.155,1,0,1,"sad","FP025","run1","change","ill-being"
25,2,164.79,1.952,1,0,3,"helped by friends","FP025","run1","self","social"
26,1,169.887,1.239,2,0,3,"positive","FP025","run1","self","well-being"
27,1,174.873,1.117,1,0,4,"engaged in tasks","FP025","run1","self","well-being"
28,3,180.044,3.402,2,0,5,"feel unimportant","FP025","run1","self","ill-being"
29,2,185.141,1.505,1,1,2,"angry","FP025","run1","self","social"
30,2,190.123,1.227,1,0,3,"am cared for","FP025","run1","self","social"
31,5,204.857,1.869,1,1,4,"isolated","FP025","run1","change","social"
32,5,209.882,2.684,1,0,6,"belong in social group","FP025","run1","change","social"
33,6,214.837,1.793,2,0,5,"unable to cope","FP025","run1","change","ill-being"
34,5,219.873,1.045,1,0,5,"comfortable with friends","FP025","run1","change","social"
35,4,224.857,1.83,1,0,1,"proud","FP025","run1","change","well-being"
36,4,229.84,2.959,1,0,2,"hopeful","FP025","run1","change","well-being"
1,3,5.054,1.234,1,0,2,"nervous","FP025","run2","self","ill-being"
2,3,10.004,1.173,1,0,2,"anxious","FP025","run2","self","ill-being"
3,2,14.993,1.616,1,0,7,"have trusting relationships","FP025","run2","self","social"
4,2,20.096,1.793,1,0,6,"have warm relationships","FP025","run2","self","social"
5,1,25.116,2.157,1,0,3,"achieve goals","FP025","run2","self","well-being"
6,1,30.071,1.514,1,0,6,"live a meaningful life","FP025","run2","self","well-being"
7,4,44.771,3.374,1,0,2,"happy","FP025","run2","change","well-being"
8,4,49.754,2.463,1,0,5,"satisfied with life","FP025","run2","change","well-being"
9,6,54.704,2.281,1,0,1,"stressed","FP025","run2","change","ill-being"
10,6,59.653,1.812,1,0,2,"lonely","FP025","run2","change","ill-being"
11,5,64.637,1.148,1,0,4,"feel encouraged","FP025","run2","change","social"
12,6,69.582,2.043,1,0,3,"feel useless","FP025","run2","change","ill-being"
13,3,84.253,2.196,1,0,3,"overwhelmed","FP025","run2","self","ill-being"
14,3,89.203,1.478,2,0,3,"feel worthless","FP025","run2","self","ill-being"
15,1,94.22,1.901,1,0,2,"joyful","FP025","run2","self","well-being"
16,1,99.319,1.234,1,0,5,"interested in life","FP025","run2","self","well-being"
17,2,104.27,2.019,1,0,3,"have good friends","FP025","run2","self","social"
18,3,109.594,2.143,1,0,1,"sad","FP025","run2","self","ill-being"
19,6,124.486,1.435,1,0,4,"feel rejected","FP025","run2","change","ill-being"
20,4,129.47,NA,0,0,3,"like myself","FP025","run2","change","well-being"
21,5,134.413,1.628,1,0,1,"loved","FP025","run2","change","social"
22,5,139.399,2.626,1,0,2,"trusted","FP025","run2","change","social"
23,4,144.503,2.234,1,0,6,"live a purposeful life","FP025","run2","change","well-being"
24,6,149.453,1.228,1,0,2,"fearful","FP025","run2","change","ill-being"
25,2,164.351,1.61,2,1,4,"isolated","FP025","run2","self","social"
26,1,169.368,1.409,2,0,1,"proud","FP025","run2","self","well-being"
27,1,174.385,1.064,1,0,2,"hopeful","FP025","run2","self","well-being"
28,3,179.335,1.506,2,0,5,"unable to cope","FP025","run2","self","ill-being"
29,2,184.665,1.896,2,0,6,"belong in social group","FP025","run2","self","social"
30,2,189.652,1.117,1,0,5,"comfortable with friends","FP025","run2","self","social"
31,5,204.469,3.324,1,0,3,"helped by friends","FP025","run2","change","social"
32,5,209.45,2.255,1,1,2,"angry","FP025","run2","change","social"
33,6,214.468,2.021,2,0,5,"feel unimportant","FP025","run2","change","ill-being"
34,5,219.451,2.038,1,0,3,"am cared for","FP025","run2","change","social"
35,4,224.393,3.248,1,0,3,"positive","FP025","run2","change","well-being"
36,4,229.381,1.708,2,0,4,"engaged in tasks","FP025","run2","change","well-being"
1,3,5.084,1.305,2,0,2,"fearful","FP026","run1","self","ill-being"
2,3,10.09,1.404,1,0,2,"lonely","FP026","run1","self","ill-being"
3,2,15.096,1.086,2,1,2,"angry","FP026","run1","self","social"
4,2,20.101,1.184,1,0,3,"am cared for","FP026","run1","self","social"
5,1,25.207,0.967,1,0,2,"happy","FP026","run1","self","well-being"
6,1,30.179,1.226,1,0,6,"live a meaningful life","FP026","run1","self","well-being"
7,4,44.896,1.534,1,0,4,"engaged in tasks","FP026","run1","change","well-being"
8,4,49.868,1.609,1,0,5,"satisfied with life","FP026","run1","change","well-being"
9,6,54.908,1.858,1,0,3,"overwhelmed","FP026","run1","change","ill-being"
10,6,59.947,1.579,1,0,1,"stressed","FP026","run1","change","ill-being"
11,5,64.919,1.751,1,0,4,"feel encouraged","FP026","run1","change","social"
12,6,69.925,1.897,1,0,5,"feel unimportant","FP026","run1","change","ill-being"
13,3,84.625,1.405,2,0,5,"unable to cope","FP026","run1","self","ill-being"
14,3,89.614,1.352,2,0,1,"sad","FP026","run1","self","ill-being"
15,1,94.619,1.258,1,0,5,"interested in life","FP026","run1","self","well-being"
16,1,99.658,1.147,1,0,3,"like myself","FP026","run1","self","well-being"
17,2,104.998,1.52,1,0,3,"helped by friends","FP026","run1","self","social"
18,3,110.337,1.605,2,0,3,"feel worthless","FP026","run1","self","ill-being"
19,6,125.388,1.874,2,0,2,"nervous","FP026","run1","change","ill-being"
20,4,130.427,1.907,1,0,6,"live a purposeful life","FP026","run1","change","well-being"
21,5,135.532,2.337,2,0,6,"belong in social group","FP026","run1","change","social"
22,5,140.571,2.146,1,1,4,"isolated","FP026","run1","change","social"
23,4,145.577,1.868,1,0,3,"achieve goals","FP026","run1","change","well-being"
24,6,150.566,1.896,1,0,2,"anxious","FP026","run1","change","ill-being"
25,2,165.333,1.201,1,0,3,"have good friends","FP026","run1","self","social"
26,1,170.289,1.077,1,0,1,"proud","FP026","run1","self","well-being"
27,1,175.294,1.055,1,0,3,"positive","FP026","run1","self","well-being"
28,3,180.25,1.476,2,0,4,"feel rejected","FP026","run1","self","ill-being"
29,2,185.256,1.318,1,0,7,"have trusting relationships","FP026","run1","self","social"
30,2,190.378,1.46,1,0,2,"trusted","FP026","run1","self","social"
31,5,205.111,2.094,1,0,6,"have warm relationships","FP026","run1","change","social"
32,5,210.084,2.018,1,0,5,"comfortable with friends","FP026","run1","change","social"
33,6,215.039,1.742,1,0,3,"feel useless","FP026","run1","change","ill-being"
34,5,219.995,2.475,1,0,1,"loved","FP026","run1","change","social"
35,4,225.101,1.369,1,0,2,"joyful","FP026","run1","change","well-being"
36,4,230.29,0.804,1,0,2,"hopeful","FP026","run1","change","well-being"
1,3,5.083,1.133,2,0,3,"overwhelmed","FP026","run2","self","ill-being"
2,3,10.089,0.944,2,0,1,"stressed","FP026","run2","self","ill-being"
3,2,15.095,1.266,1,0,4,"feel encouraged","FP026","run2","self","social"
4,2,20.434,2.607,2,0,6,"belong in social group","FP026","run2","self","social"
5,1,25.406,2.658,1,0,4,"engaged in tasks","FP026","run2","self","well-being"
6,1,30.529,1.32,1,0,5,"satisfied with life","FP026","run2","self","well-being"
7,4,45.296,1.449,1,0,2,"happy","FP026","run2","change","well-being"
8,4,50.251,1.622,1,0,6,"live a meaningful life","FP026","run2","change","well-being"
9,6,55.257,1.312,1,0,2,"fearful","FP026","run2","change","ill-being"
10,6,60.229,1.364,1,0,2,"lonely","FP026","run2","change","ill-being"
11,5,65.252,1.093,1,1,2,"angry","FP026","run2","change","social"
12,6,70.241,2.616,1,0,5,"unable to cope","FP026","run2","change","ill-being"
13,3,84.924,1.981,2,0,5,"feel unimportant","FP026","run2","self","ill-being"
14,3,89.963,1.23,2,0,2,"nervous","FP026","run2","self","ill-being"
15,1,94.919,1.37,1,0,6,"live a purposeful life","FP026","run2","self","well-being"
16,1,100.025,1.32,1,0,3,"achieve goals","FP026","run2","self","well-being"
17,2,104.98,1.773,2,1,4,"isolated","FP026","run2","self","social"
18,3,110.336,1.649,1,0,2,"anxious","FP026","run2","self","ill-being"
19,6,125.103,1.418,1,0,1,"sad","FP026","run2","change","ill-being"
20,4,130.092,1.877,1,0,5,"interested in life","FP026","run2","change","well-being"
21,5,135.098,3.551,1,0,3,"am cared for","FP026","run2","change","social"
22,5,140.22,2.701,1,0,3,"helped by friends","FP026","run2","change","social"
23,4,145.209,2.096,1,0,3,"like myself","FP026","run2","change","well-being"
24,6,150.248,3.137,1,0,3,"feel worthless","FP026","run2","change","ill-being"
25,2,164.982,1.347,1,0,6,"have warm relationships","FP026","run2","self","social"
26,1,170.171,0.95,1,0,2,"joyful","FP026","run2","self","well-being"
27,1,175.127,0.882,1,0,2,"hopeful","FP026","run2","self","well-being"
28,3,180.232,1.857,2,0,3,"feel useless","FP026","run2","self","ill-being"
29,2,185.288,1.289,1,0,5,"comfortable with friends","FP026","run2","self","social"
30,2,190.244,1.525,1,0,1,"loved","FP026","run2","self","social"
31,5,204.96,1.2,1,0,3,"have good friends","FP026","run2","change","social"
32,5,209.933,1.196,1,0,7,"have trusting relationships","FP026","run2","change","social"
33,6,215.272,1.401,1,0,4,"feel rejected","FP026","run2","change","ill-being"
34,5,220.228,1.165,1,0,2,"trusted","FP026","run2","change","social"
35,4,225.183,2.977,1,0,1,"proud","FP026","run2","change","well-being"
36,4,230.156,1.341,1,0,3,"positive","FP026","run2","change","well-being"
1,3,5.056,1.438,2,0,2,"lonely","FP027","run1","self","ill-being"
2,3,10.011,1.939,2,0,3,"feel worthless","FP027","run1","self","ill-being"
3,2,14.996,1.106,1,1,2,"angry","FP027","run1","self","social"
4,2,20.317,1.097,1,0,1,"loved","FP027","run1","self","social"
5,1,25.296,1.309,1,0,2,"hopeful","FP027","run1","self","well-being"
6,1,30.279,1.422,2,0,1,"proud","FP027","run1","self","well-being"
7,4,44.979,3.506,1,0,3,"achieve goals","FP027","run1","change","well-being"
8,4,50.071,2.622,1,0,5,"satisfied with life","FP027","run1","change","well-being"
9,6,55.012,1.474,1,0,2,"fearful","FP027","run1","change","ill-being"
10,6,59.996,2.609,1,0,4,"feel rejected","FP027","run1","change","ill-being"
11,5,64.946,2.404,1,0,3,"helped by friends","FP027","run1","change","social"
12,6,69.962,1.716,1,0,1,"sad","FP027","run1","change","ill-being"
13,3,84.662,1.28,1,0,3,"overwhelmed","FP027","run1","self","ill-being"
14,3,89.599,1.006,1,0,1,"stressed","FP027","run1","self","ill-being"
15,1,94.545,1.652,2,0,4,"engaged in tasks","FP027","run1","self","well-being"
16,1,99.49,1.187,1,0,2,"happy","FP027","run1","self","well-being"
17,2,104.81,1.515,2,1,4,"isolated","FP027","run1","self","social"
18,3,109.762,1.619,2,0,5,"unable to cope","FP027","run1","self","ill-being"
19,6,124.577,1.444,1,0,5,"feel unimportant","FP027","run1","change","ill-being"
20,4,129.528,1.229,1,0,2,"joyful","FP027","run1","change","well-being"
21,5,134.711,2.326,2,0,6,"have warm relationships","FP027","run1","change","social"
22,5,139.653,1.673,1,0,6,"belong in social group","FP027","run1","change","social"
23,4,144.639,2.67,1,0,5,"interested in life","FP027","run1","change","well-being"
24,6,149.743,2.198,2,0,2,"anxious","FP027","run1","change","ill-being"
25,2,164.477,1.264,1,0,5,"comfortable with friends","FP027","run1","self","social"
26,1,169.457,1.412,1,0,3,"positive","FP027","run1","self","well-being"
27,1,174.56,2.253,1,0,6,"live a purposeful life","FP027","run1","self","well-being"
28,3,179.512,1.262,1,0,2,"nervous","FP027","run1","self","ill-being"
29,2,184.527,1.127,1,0,2,"trusted","FP027","run1","self","social"
30,2,189.855,1.942,2,0,4,"feel encouraged","FP027","run1","self","social"
31,5,204.56,1.373,1,0,3,"have good friends","FP027","run1","change","social"
32,5,209.577,2.7,2,0,3,"am cared for","FP027","run1","change","social"
33,6,214.556,1.809,1,0,3,"feel useless","FP027","run1","change","ill-being"
34,5,219.51,2.623,2,0,7,"have trusting relationships","FP027","run1","change","social"
35,4,224.494,1.48,1,0,3,"like myself","FP027","run1","change","well-being"
36,4,229.667,1.546,1,0,6,"live a meaningful life","FP027","run1","change","well-being"
1,3,5.055,1.044,1,0,2,"fearful","FP027","run2","self","ill-being"
2,3,10.041,1.449,1,0,4,"feel rejected","FP027","run2","self","ill-being"
3,2,14.996,1.503,1,0,3,"helped by friends","FP027","run2","self","social"
4,2,19.945,1.218,1,0,6,"have warm relationships","FP027","run2","self","social"
5,1,24.885,1.478,2,0,3,"achieve goals","FP027","run2","self","well-being"
6,1,29.862,1.636,2,0,5,"satisfied with life","FP027","run2","self","well-being"
7,4,44.529,1.321,1,0,2,"hopeful","FP027","run2","change","well-being"
8,4,49.469,1.686,1,0,1,"proud","FP027","run2","change","well-being"
9,6,54.406,0.933,1,0,2,"lonely","FP027","run2","change","ill-being"
10,6,59.344,1.17,1,0,3,"feel worthless","FP027","run2","change","ill-being"
11,5,64.361,1.066,1,1,2,"angry","FP027","run2","change","social"
12,6,69.345,1.273,1,0,3,"overwhelmed","FP027","run2","change","ill-being"
13,3,84.095,1.155,2,0,1,"sad","FP027","run2","self","ill-being"
14,3,89.078,1.661,2,0,5,"feel unimportant","FP027","run2","self","ill-being"
15,1,94.018,1.256,1,0,2,"joyful","FP027","run2","self","well-being"
16,1,98.994,1.953,1,0,5,"interested in life","FP027","run2","self","well-being"
17,2,103.942,2.117,2,0,6,"belong in social group","FP027","run2","self","social"
18,3,108.929,0.866,1,0,2,"anxious","FP027","run2","self","ill-being"
19,6,123.622,1.116,1,0,1,"stressed","FP027","run2","change","ill-being"
20,4,128.609,1.385,1,0,4,"engaged in tasks","FP027","run2","change","well-being"
21,5,133.594,1.073,1,0,1,"loved","FP027","run2","change","social"
22,5,138.683,0.848,1,1,4,"isolated","FP027","run2","change","social"
23,4,143.704,0.931,1,0,2,"happy","FP027","run2","change","well-being"
24,6,148.691,3.72,2,0,5,"unable to cope","FP027","run2","change","ill-being"
25,2,163.511,1.564,1,0,3,"have good friends","FP027","run2","self","social"
26,1,168.455,2.244,2,0,3,"like myself","FP027","run2","self","well-being"
27,1,173.775,1.26,2,0,6,"live a meaningful life","FP027","run2","self","well-being"
28,3,178.793,2.913,2,0,3,"feel useless","FP027","run2","self","ill-being"
29,2,183.733,1.022,1,0,3,"am cared for","FP027","run2","self","social"
30,2,188.719,1.171,1,0,7,"have trusting relationships","FP027","run2","self","social"
31,5,203.376,4.498,2,0,5,"comfortable with friends","FP027","run2","change","social"
32,5,208.467,2.672,2,0,2,"trusted","FP027","run2","change","social"
33,6,213.487,1.932,1,0,2,"nervous","FP027","run2","change","ill-being"
34,5,218.591,3.092,1,0,4,"feel encouraged","FP027","run2","change","social"
35,4,223.609,1.369,1,0,3,"positive","FP027","run2","change","well-being"
36,4,228.56,3.939,2,0,6,"live a purposeful life","FP027","run2","change","well-being"
1,3,5.064,4.07,2,0,3,"feel useless","FP028","run1","self","ill-being"
2,3,10.013,3.712,2,0,2,"fearful","FP028","run1","self","ill-being"
3,2,15.179,4.69,1,0,6,"belong in social group","FP028","run1","self","social"
4,2,20.311,1.471,1,0,3,"have good friends","FP028","run1","self","social"
5,1,25.629,2.736,1,0,2,"happy","FP028","run1","self","well-being"
6,1,30.614,1.216,1,0,3,"achieve goals","FP028","run1","self","well-being"
7,4,45.313,2.277,2,0,6,"live a meaningful life","FP028","run1","change","well-being"
8,4,50.296,1.246,2,0,3,"positive","FP028","run1","change","well-being"
9,6,55.279,1.311,1,0,2,"lonely","FP028","run1","change","ill-being"
10,6,60.223,3.287,1,0,3,"feel worthless","FP028","run1","change","ill-being"
11,5,65.313,1.765,1,0,2,"trusted","FP028","run1","change","social"
12,6,70.263,2.399,2,0,5,"unable to cope","FP028","run1","change","ill-being"
13,3,84.957,1.376,2,0,5,"feel unimportant","FP028","run1","self","ill-being"
14,3,89.978,1.156,1,0,2,"anxious","FP028","run1","self","ill-being"
15,1,94.996,1.842,2,0,3,"like myself","FP028","run1","self","well-being"
16,1,99.979,2.322,1,0,4,"engaged in tasks","FP028","run1","self","well-being"
17,2,104.928,1.405,1,0,7,"have trusting relationships","FP028","run1","self","social"
18,3,110.26,1.418,1,0,3,"overwhelmed","FP028","run1","self","ill-being"
19,6,124.962,2.276,1,0,1,"sad","FP028","run1","change","ill-being"
20,4,129.907,2.171,2,0,1,"proud","FP028","run1","change","well-being"
21,5,135.01,2.643,1,0,4,"feel encouraged","FP028","run1","change","social"
22,5,139.995,1.003,1,0,6,"have warm relationships","FP028","run1","change","social"
23,4,144.933,2.657,2,0,6,"live a purposeful life","FP028","run1","change","well-being"
24,6,149.879,1.799,2,0,2,"nervous","FP028","run1","change","ill-being"
25,2,164.612,2.762,1,0,5,"comfortable with friends","FP028","run1","self","social"
26,1,169.55,0.727,1,0,2,"joyful","FP028","run1","self","well-being"
27,1,174.495,1.911,1,0,5,"interested in life","FP028","run1","self","well-being"
28,3,179.511,2.519,1,0,4,"feel rejected","FP028","run1","self","ill-being"
29,2,184.461,0.841,1,0,1,"loved","FP028","run1","self","social"
30,2,189.477,0.992,1,1,2,"angry","FP028","run1","self","social"
31,5,204.143,2.519,1,1,4,"isolated","FP028","run1","change","social"
32,5,209.095,0.911,1,0,3,"am cared for","FP028","run1","change","social"
33,6,214.194,0.923,1,0,1,"stressed","FP028","run1","change","ill-being"
34,5,219.37,2.835,2,0,3,"helped by friends","FP028","run1","change","social"
35,4,224.39,2.463,1,0,5,"satisfied with life","FP028","run1","change","well-being"
36,4,229.494,1.92,1,0,2,"hopeful","FP028","run1","change","well-being"
1,3,5.049,1.443,2,0,2,"lonely","FP028","run2","self","ill-being"
2,3,10.035,1.449,2,0,3,"feel worthless","FP028","run2","self","ill-being"
3,2,14.989,0.743,1,0,2,"trusted","FP028","run2","self","social"
4,2,20.004,1.2,2,0,4,"feel encouraged","FP028","run2","self","social"
5,1,25.03,1.182,1,0,6,"live a meaningful life","FP028","run2","self","well-being"
6,1,30.017,1.259,2,0,3,"positive","FP028","run2","self","well-being"
7,4,44.753,1.707,1,0,2,"happy","FP028","run2","change","well-being"
8,4,49.771,1.385,2,0,3,"achieve goals","FP028","run2","change","well-being"
9,6,54.718,2.414,1,0,3,"feel useless","FP028","run2","change","ill-being"
10,6,59.887,2.421,1,0,2,"fearful","FP028","run2","change","ill-being"
11,5,65.053,2.103,1,0,6,"belong in social group","FP028","run2","change","social"
12,6,69.996,1.616,1,0,5,"feel unimportant","FP028","run2","change","ill-being"
13,3,84.702,2.11,2,0,5,"unable to cope","FP028","run2","self","ill-being"
14,3,89.793,2.323,2,0,1,"sad","FP028","run2","self","ill-being"
15,1,94.77,0.866,1,0,1,"proud","FP028","run2","self","well-being"
16,1,99.718,0.958,1,0,6,"live a purposeful life","FP028","run2","self","well-being"
17,2,104.669,0.806,1,0,6,"have warm relationships","FP028","run2","self","social"
18,3,109.77,1.218,1,0,2,"nervous","FP028","run2","self","ill-being"
19,6,124.435,1.945,2,0,2,"anxious","FP028","run2","change","ill-being"
20,4,129.756,1.752,1,0,3,"like myself","FP028","run2","change","well-being"
21,5,134.776,1.66,1,0,3,"have good friends","FP028","run2","change","social"
22,5,139.879,1.197,1,0,7,"have trusting relationships","FP028","run2","change","social"
23,4,144.866,1.778,1,0,4,"engaged in tasks","FP028","run2","change","well-being"
24,6,149.82,1.072,1,0,3,"overwhelmed","FP028","run2","change","ill-being"
25,2,164.513,1.147,2,1,4,"isolated","FP028","run2","self","social"
26,1,169.467,0.929,1,0,5,"satisfied with life","FP028","run2","self","well-being"
27,1,174.485,1.063,1,0,2,"hopeful","FP028","run2","self","well-being"
28,3,179.808,0.948,1,0,1,"stressed","FP028","run2","self","ill-being"
29,2,184.752,1.316,1,0,3,"am cared for","FP028","run2","self","social"
30,2,189.698,0.642,1,0,3,"helped by friends","FP028","run2","self","social"
31,5,204.359,1.893,1,0,5,"comfortable with friends","FP028","run2","change","social"
32,5,209.451,0.929,1,0,1,"loved","FP028","run2","change","social"
33,6,214.432,1.684,2,0,4,"feel rejected","FP028","run2","change","ill-being"
34,5,219.418,1.242,1,1,2,"angry","FP028","run2","change","social"
35,4,224.4,1.476,1,0,2,"joyful","FP028","run2","change","well-being"
36,4,229.344,1.164,1,0,5,"interested in life","FP028","run2","change","well-being"
1,3,5.062,2.082,2,0,3,"feel useless","FP029","run1","self","ill-being"
2,3,10.046,1.577,2,0,3,"feel worthless","FP029","run1","self","ill-being"
3,2,14.996,1.195,1,0,3,"am cared for","FP029","run1","self","social"
4,2,20.321,1.799,2,0,3,"helped by friends","FP029","run1","self","social"
5,1,25.342,1.585,1,0,6,"live a meaningful life","FP029","run1","self","well-being"
6,1,30.294,0.865,1,0,1,"proud","FP029","run1","self","well-being"
7,4,44.963,3.589,1,0,2,"hopeful","FP029","run1","change","well-being"
8,4,49.942,1.393,1,0,2,"joyful","FP029","run1","change","well-being"
9,6,54.929,1.951,2,0,2,"anxious","FP029","run1","change","ill-being"
10,6,59.913,1.758,1,0,2,"fearful","FP029","run1","change","ill-being"
11,5,65.012,2.331,1,0,6,"belong in social group","FP029","run1","change","social"
12,6,69.996,1.827,1,0,2,"lonely","FP029","run1","change","ill-being"
13,3,84.696,1.119,2,0,1,"sad","FP029","run1","self","ill-being"
14,3,89.795,1.556,1,0,1,"stressed","FP029","run1","self","ill-being"
15,1,94.741,1.002,1,0,3,"like myself","FP029","run1","self","well-being"
16,1,99.695,1.144,1,0,6,"live a purposeful life","FP029","run1","self","well-being"
17,2,105.03,1.697,1,0,7,"have trusting relationships","FP029","run1","self","social"
18,3,110.202,2.101,2,0,4,"feel rejected","FP029","run1","self","ill-being"
19,6,124.946,2.614,2,0,5,"unable to cope","FP029","run1","change","ill-being"
20,4,129.966,1.777,1,0,5,"satisfied with life","FP029","run1","change","well-being"
21,5,134.944,2.655,1,0,4,"feel encouraged","FP029","run1","change","social"
22,5,140.123,1.132,2,0,1,"loved","FP029","run1","change","social"
23,4,145.078,1.37,1,0,2,"happy","FP029","run1","change","well-being"
24,6,150.062,1.417,1,0,5,"feel unimportant","FP029","run1","change","ill-being"
25,2,164.808,2.079,1,0,6,"have warm relationships","FP029","run1","self","social"
26,1,170.145,0.87,1,0,3,"achieve goals","FP029","run1","self","well-being"
27,1,175.165,0.802,1,0,5,"interested in life","FP029","run1","self","well-being"
28,3,180.186,1.645,2,0,2,"nervous","FP029","run1","self","ill-being"
29,2,185.139,1.708,2,0,3,"have good friends","FP029","run1","self","social"
30,2,190.126,1.169,2,1,4,"isolated","FP029","run1","self","social"
31,5,204.795,1.301,1,0,5,"comfortable with friends","FP029","run1","change","social"
32,5,209.89,1.165,1,0,2,"trusted","FP029","run1","change","social"
33,6,214.877,0.931,1,0,3,"overwhelmed","FP029","run1","change","ill-being"
34,5,219.827,1.044,1,1,2,"angry","FP029","run1","change","social"
35,4,224.811,0.78,1,0,3,"positive","FP029","run1","change","well-being"
36,4,229.755,1.004,1,0,4,"engaged in tasks","FP029","run1","change","well-being"
1,3,5.055,1.228,1,0,2,"anxious","FP029","run2","self","ill-being"
2,3,10.09,1.081,2,0,2,"fearful","FP029","run2","self","ill-being"
3,2,15.073,1.714,1,0,6,"belong in social group","FP029","run2","self","social"
4,2,20.016,0.955,1,0,4,"feel encouraged","FP029","run2","self","social"
5,1,25.121,0.898,1,0,2,"hopeful","FP029","run2","self","well-being"
6,1,30.106,0.689,1,0,2,"joyful","FP029","run2","self","well-being"
7,4,44.851,1.337,1,0,6,"live a meaningful life","FP029","run2","change","well-being"
8,4,49.804,1.215,1,0,1,"proud","FP029","run2","change","well-being"
9,6,54.756,1.368,1,0,3,"feel useless","FP029","run2","change","ill-being"
10,6,59.706,0.881,1,0,3,"feel worthless","FP029","run2","change","ill-being"
11,5,64.722,1.257,1,0,3,"am cared for","FP029","run2","change","social"
12,6,69.669,1.454,1,0,1,"sad","FP029","run2","change","ill-being"
13,3,84.372,1.399,2,0,2,"lonely","FP029","run2","self","ill-being"
14,3,89.466,1.073,2,0,5,"unable to cope","FP029","run2","self","ill-being"
15,1,94.453,0.878,1,0,5,"satisfied with life","FP029","run2","self","well-being"
16,1,99.773,0.766,1,0,2,"happy","FP029","run2","self","well-being"
17,2,104.756,0.743,1,0,1,"loved","FP029","run2","self","social"
18,3,110.081,1.258,2,0,5,"feel unimportant","FP029","run2","self","ill-being"
19,6,124.822,1.181,1,0,1,"stressed","FP029","run2","change","ill-being"
20,4,129.995,2.104,2,0,3,"like myself","FP029","run2","change","well-being"
21,5,135.016,1.611,1,0,3,"helped by friends","FP029","run2","change","social"
22,5,140.019,1.4,1,0,7,"have trusting relationships","FP029","run2","change","social"
23,4,145.005,1.831,1,0,6,"live a purposeful life","FP029","run2","change","well-being"
24,6,149.988,1.399,1,0,4,"feel rejected","FP029","run2","change","ill-being"
25,2,164.654,1.533,1,0,5,"comfortable with friends","FP029","run2","self","social"
26,1,169.754,0.705,1,0,3,"positive","FP029","run2","self","well-being"
27,1,174.928,1.075,1,0,4,"engaged in tasks","FP029","run2","self","well-being"
28,3,179.87,1.453,2,0,3,"overwhelmed","FP029","run2","self","ill-being"
29,2,184.851,0.96,1,0,2,"trusted","FP029","run2","self","social"
30,2,189.837,1.262,2,1,2,"angry","FP029","run2","self","social"
31,5,204.499,2.089,1,0,6,"have warm relationships","FP029","run2","change","social"
32,5,209.519,0.933,1,0,3,"have good friends","FP029","run2","change","social"
